dia,numero
30/04/2024,93
30/04/2024,63
30/04/2024,22
29/04/2024,49
29/04/2024,13
29/04/2024,29
28/04/2024,95
28/04/2024,41
28/04/2024,9
27/04/2024,13
27/04/2024,65
27/04/2024,83
26/04/2024,10
26/04/2024,92
26/04/2024,35
25/04/2024,48
25/04/2024,72
25/04/2024,47
24/04/2024,11
24/04/2024,87
24/04/2024,32
23/04/2024,61
23/04/2024,89
23/04/2024,3
22/04/2024,4
22/04/2024,96
22/04/2024,90
21/04/2024,14
21/04/2024,7
21/04/2024,90
20/04/2024,61
20/04/2024,21
20/04/2024,77
19/04/2024,81
19/04/2024,65
19/04/2024,7
18/04/2024,73
18/04/2024,40
18/04/2024,53
17/04/2024,46
17/04/2024,0
17/04/2024,16
16/04/2024,70
16/04/2024,69
16/04/2024,40
15/04/2024,12
15/04/2024,70
15/04/2024,54
14/04/2024,49
14/04/2024,17
14/04/2024,59
13/04/2024,83
13/04/2024,50
13/04/2024,71
12/04/2024,61
12/04/2024,76
12/04/2024,73
11/04/2024,60
11/04/2024,38
11/04/2024,84
10/04/2024,67
10/04/2024,3
10/04/2024,49
09/04/2024,16
09/04/2024,4
09/04/2024,97
08/04/2024,47
08/04/2024,71
08/04/2024,93
07/04/2024,33
07/04/2024,65
07/04/2024,95
06/04/2024,55
06/04/2024,75
06/04/2024,27
05/04/2024,87
05/04/2024,89
05/04/2024,34
04/04/2024,68
04/04/2024,57
04/04/2024,66
03/04/2024,10
03/04/2024,62
03/04/2024,83
02/04/2024,70
02/04/2024,5
02/04/2024,52
01/04/2024,23
01/04/2024,5
01/04/2024,42
27/03/2024,96
27/03/2024,35
27/03/2024,34
26/03/2024,25
26/03/2024,50
26/03/2024,33
25/03/2024,51
25/03/2024,89
25/03/2024,9
24/03/2024,3
24/03/2024,27
24/03/2024,35
23/03/2024,2
23/03/2024,95
23/03/2024,54
22/03/2024,24
22/03/2024,4
22/03/2024,44
21/03/2024,36
21/03/2024,13
21/03/2024,97
20/03/2024,20
20/03/2024,48
20/03/2024,15
19/03/2024,7
19/03/2024,99
19/03/2024,30
18/03/2024,33
18/03/2024,96
18/03/2024,47
17/03/2024,28
17/03/2024,1
17/03/2024,71
16/03/2024,89
16/03/2024,35
16/03/2024,13
15/03/2024,83
15/03/2024,21
15/03/2024,75
14/03/2024,42
14/03/2024,5
14/03/2024,92
13/03/2024,77
13/03/2024,79
13/03/2024,91
12/03/2024,60
12/03/2024,48
12/03/2024,83
11/03/2024,39
11/03/2024,22
11/03/2024,70
10/03/2024,60
10/03/2024,57
10/03/2024,99
09/03/2024,0
09/03/2024,6
09/03/2024,38
08/03/2024,0
