dia,numero
30/04/2023,65
30/04/2023,29
30/04/2023,96
29/04/2023,25
29/04/2023,70
29/04/2023,61
28/04/2023,73
28/04/2023,36
28/04/2023,4
27/04/2023,71
27/04/2023,87
27/04/2023,32
26/04/2023,86
26/04/2023,79
26/04/2023,55
25/04/2023,75
25/04/2023,16
25/04/2023,11
24/04/2023,73
24/04/2023,62
24/04/2023,20
23/04/2023,75
23/04/2023,73
23/04/2023,81
22/04/2023,82
22/04/2023,53
22/04/2023,75
21/04/2023,71
21/04/2023,22
21/04/2023,86
20/04/2023,82
20/04/2023,58
20/04/2023,21
19/04/2023,57
19/04/2023,62
19/04/2023,77
18/04/2023,61
18/04/2023,59
18/04/2023,26
17/04/2023,25
17/04/2023,55
17/04/2023,68
16/04/2023,9
16/04/2023,7
16/04/2023,63
15/04/2023,46
15/04/2023,15
15/04/2023,83
14/04/2023,50
14/04/2023,43
14/04/2023,69
13/04/2023,43
13/04/2023,85
13/04/2023,1
12/04/2023,95
12/04/2023,91
12/04/2023,33
11/04/2023,92
11/04/2023,91
11/04/2023,34
10/04/2023,15
10/04/2023,56
10/04/2023,3
05/04/2023,51
05/04/2023,14
05/04/2023,74
04/04/2023,19
04/04/2023,87
04/04/2023,83
03/04/2023,26
03/04/2023,49
03/04/2023,45
02/04/2023,28
02/04/2023,21
02/04/2023,58
01/04/2023,16
01/04/2023,90
01/04/2023,12
31/03/2023,49
31/03/2023,29
31/03/2023,94
30/03/2023,8
30/03/2023,97
30/03/2023,96
29/03/2023,23
29/03/2023,93
29/03/2023,23
28/03/2023,93
28/03/2023,99
28/03/2023,7
27/03/2023,39
27/03/2023,83
27/03/2023,22
26/03/2023,85
26/03/2023,37
26/03/2023,16
25/03/2023,82
25/03/2023,51
25/03/2023,61
24/03/2023,34
24/03/2023,57
24/03/2023,7
23/03/2023,13
23/03/2023,93
23/03/2023,43
22/03/2023,13
22/03/2023,65
22/03/2023,40
21/03/2023,16
21/03/2023,82
21/03/2023,67
20/03/2023,32
20/03/2023,14
20/03/2023,9
19/03/2023,11
19/03/2023,75
19/03/2023,0
18/03/2023,5
18/03/2023,29
18/03/2023,27
17/03/2023,18
17/03/2023,24
17/03/2023,44
16/03/2023,4
16/03/2023,87
16/03/2023,2
15/03/2023,28
15/03/2023,37
15/03/2023,31
14/03/2023,42
14/03/2023,49
14/03/2023,32
13/03/2023,11
13/03/2023,12
13/03/2023,37
12/03/2023,8
12/03/2023,86
12/03/2023,46
11/03/2023,2
11/03/2023,26
11/03/2023,4
10/03/2023,90
10/03/2023,46
10/03/2023,13
09/03/2023,40
09/03/2023,41
09/03/2023,77
08/03/2023,64
08/03/2023,4
08/03/2023,36
07/03/2023,67
07/03/2023,38
07/03/2023,87
06/03/2023,97
06/03/2023,0
06/03/2023,73
05/03/2023,57
05/03/2023,2
05/03/2023,14
04/03/2023,39
04/03/2023,85
04/03/2023,45
03/03/2023,39
03/03/2023,22
03/03/2023,97
02/03/2023,19
02/03/2023,42
02/03/2023,42
01/03/2023,87
01/03/2023,78
01/03/2023,9
28/02/2023,62
28/02/2023,50
28/02/2023,64
27/02/2023,46
27/02/2023,30
27/02/2023,29
26/02/2023,7
26/02/2023,94
26/02/2023,67
25/02/2023,35
25/02/2023,43
25/02/2023,90
24/02/2023,16
24/02/2023,73
24/02/2023,57
23/02/2023,97
23/02/2023,44
23/02/2023,38
22/02/2023,45
22/02/2023,65
22/02/2023,38
21/02/2023,8
21/02/2023,57
21/02/2023,58
20/02/2023,63
20/02/2023,56
20/02/2023,41
19/02/2023,46
19/02/2023,93
19/02/2023,54
18/02/2023,78
18/02/2023,23
18/02/2023,68
17/02/2023,88
17/02/2023,53
17/02/2023,61
16/02/2023,45
16/02/2023,95
16/02/2023,25
15/02/2023,51
15/02/2023,87
15/02/2023,85
14/02/2023,45
14/02/2023,76
14/02/2023,50
13/02/2023,53
13/02/2023,26
13/02/2023,4
12/02/2023,34
12/02/2023,60
12/02/2023,12
11/02/2023,26
11/02/2023,41
11/02/2023,13
10/02/2023,99
10/02/2023,8
10/02/2023,5
09/02/2023,3
09/02/2023,73
09/02/2023,83
08/02/2023,69
08/02/2023,97
08/02/2023,32
07/02/2023,45
07/02/2023,6
07/02/2023,59
06/02/2023,15
06/02/2023,29
06/02/2023,33
05/02/2023,74
05/02/2023,2
05/02/2023,78
04/02/2023,58
04/02/2023,48
04/02/2023,96
03/02/2023,21
03/02/2023,16
03/02/2023,89
02/02/2023,41
02/02/2023,67
02/02/2023,5
01/02/2023,96
01/02/2023,16
01/02/2023,53
31/01/2023,82
31/01/2023,53
31/01/2023,33
30/01/2023,9
30/01/2023,44
30/01/2023,4
29/01/2023,6
29/01/2023,59
29/01/2023,60
28/01/2023,64
28/01/2023,3
28/01/2023,71
27/01/2023,29
27/01/2023,84
27/01/2023,72
26/01/2023,17
26/01/2023,67
26/01/2023,93
25/01/2023,3
25/01/2023,78
25/01/2023,23
24/01/2023,61
24/01/2023,67
24/01/2023,76
23/01/2023,48
23/01/2023,92
23/01/2023,59
22/01/2023,69
22/01/2023,22
22/01/2023,78
21/01/2023,18
21/01/2023,57
21/01/2023,94
20/01/2023,46
20/01/2023,14
20/01/2023,6
19/01/2023,86
19/01/2023,64
19/01/2023,42
18/01/2023,51
18/01/2023,17
18/01/2023,92
17/01/2023,39
17/01/2023,1
17/01/2023,49
16/01/2023,6
16/01/2023,83
16/01/2023,99
15/01/2023,60
15/01/2023,98
15/01/2023,81
14/01/2023,12
14/01/2023,66
14/01/2023,68
13/01/2023,93
13/01/2023,53
13/01/2023,4
12/01/2023,48
12/01/2023,61
12/01/2023,74
11/01/2023,19
11/01/2023,86
11/01/2023,76
10/01/2023,96
10/01/2023,92
10/01/2023,82
09/01/2023,70
09/01/2023,1
09/01/2023,82
08/01/2023,79
08/01/2023,36
08/01/2023,20
07/01/2023,47
07/01/2023,9
07/01/2023,83
06/01/2023,96
06/01/2023,88
06/01/2023,18
05/01/2023,99
05/01/2023,55
05/01/2023,6
04/01/2023,92
04/01/2023,46
