dia,numero
31/12/2024,22
31/12/2024,15
30/12/2024,61
30/12/2024,39
30/12/2024,67
29/12/2024,35
29/12/2024,19
29/12/2024,49
28/12/2024,29
28/12/2024,46
28/12/2024,33
27/12/2024,61
27/12/2024,73
27/12/2024,15
26/12/2024,82
26/12/2024,14
26/12/2024,70
24/12/2024,10
24/12/2024,13
23/12/2024,85
23/12/2024,11
23/12/2024,62
22/12/2024,38
22/12/2024,76
22/12/2024,97
21/12/2024,93
21/12/2024,87
21/12/2024,76
20/12/2024,40
20/12/2024,52
20/12/2024,51
19/12/2024,12
19/12/2024,72
19/12/2024,8
18/12/2024,47
18/12/2024,34
18/12/2024,81
17/12/2024,52
17/12/2024,71
17/12/2024,16
16/12/2024,70
16/12/2024,2
16/12/2024,67
15/12/2024,8
15/12/2024,75
15/12/2024,43
14/12/2024,95
14/12/2024,95
14/12/2024,87
13/12/2024,59
13/12/2024,88
13/12/2024,37
12/12/2024,97
12/12/2024,51
12/12/2024,0
11/12/2024,56
11/12/2024,97
11/12/2024,45
10/12/2024,75
10/12/2024,94
10/12/2024,19
09/12/2024,46
09/12/2024,41
09/12/2024,79
08/12/2024,55
08/12/2024,50
08/12/2024,60
07/12/2024,64
07/12/2024,94
07/12/2024,45
06/12/2024,41
06/12/2024,68
06/12/2024,16
05/12/2024,27
05/12/2024,61
05/12/2024,92
04/12/2024,56
04/12/2024,58
04/12/2024,44
03/12/2024,53
03/12/2024,69
03/12/2024,62
02/12/2024,18
02/12/2024,16
02/12/2024,75
01/12/2024,74
01/12/2024,61
01/12/2024,26
30/11/2024,67
30/11/2024,5
30/11/2024,82
29/11/2024,15
29/11/2024,35
29/11/2024,74
28/11/2024,72
28/11/2024,64
28/11/2024,79
27/11/2024,40
27/11/2024,89
27/11/2024,64
26/11/2024,23
26/11/2024,46
26/11/2024,37
25/11/2024,94
25/11/2024,67
25/11/2024,72
24/11/2024,31
24/11/2024,66
24/11/2024,39
23/11/2024,23
23/11/2024,52
23/11/2024,83
22/11/2024,11
22/11/2024,42
22/11/2024,58
21/11/2024,86
21/11/2024,99
21/11/2024,7
20/11/2024,66
20/11/2024,98
20/11/2024,94
19/11/2024,28
19/11/2024,14
19/11/2024,36
18/11/2024,27
18/11/2024,47
18/11/2024,44
17/11/2024,46
17/11/2024,98
17/11/2024,87
16/11/2024,43
16/11/2024,54
16/11/2024,9
15/11/2024,42
15/11/2024,54
15/11/2024,53
14/11/2024,27
14/11/2024,92
14/11/2024,31
13/11/2024,81
13/11/2024,38
13/11/2024,27
12/11/2024,40
12/11/2024,46
12/11/2024,15
11/11/2024,0
11/11/2024,14
11/11/2024,93
10/11/2024,60
10/11/2024,24
10/11/2024,92
09/11/2024,19
09/11/2024,49
09/11/2024,72
08/11/2024,16
08/11/2024,86
08/11/2024,44
07/11/2024,80
07/11/2024,52
07/11/2024,49
06/11/2024,82
06/11/2024,91
06/11/2024,58
05/11/2024,74
05/11/2024,85
05/11/2024,30
04/11/2024,74
04/11/2024,81
04/11/2024,86
03/11/2024,69
03/11/2024,59
03/11/2024,70
02/11/2024,55
02/11/2024,4
02/11/2024,74
01/11/2024,38
01/11/2024,22
01/11/2024,69
31/10/2024,97
31/10/2024,85
31/10/2024,47
30/10/2024,59
30/10/2024,44
30/10/2024,74
29/10/2024,31
29/10/2024,69
29/10/2024,34
28/10/2024,26
28/10/2024,58
28/10/2024,15
27/10/2024,9
27/10/2024,73
27/10/2024,83
26/10/2024,60
26/10/2024,63
26/10/2024,7
25/10/2024,75
25/10/2024,36
25/10/2024,63
24/10/2024,32
24/10/2024,21
24/10/2024,79
23/10/2024,27
23/10/2024,64
23/10/2024,48
22/10/2024,41
22/10/2024,99
22/10/2024,82
21/10/2024,37
21/10/2024,23
21/10/2024,2
20/10/2024,87
20/10/2024,60
20/10/2024,70
19/10/2024,36
19/10/2024,53
19/10/2024,77
18/10/2024,95
18/10/2024,20
18/10/2024,73
17/10/2024,78
17/10/2024,74
17/10/2024,76
16/10/2024,60
16/10/2024,14
16/10/2024,48
15/10/2024,56
15/10/2024,23
15/10/2024,65
14/10/2024,85
14/10/2024,15
14/10/2024,37
13/10/2024,88
13/10/2024,27
13/10/2024,58
12/10/2024,13
12/10/2024,27
12/10/2024,39
11/10/2024,41
11/10/2024,33
11/10/2024,48
10/10/2024,62
10/10/2024,83
10/10/2024,50
09/10/2024,65
09/10/2024,12
09/10/2024,7
08/10/2024,32
08/10/2024,43
08/10/2024,74
07/10/2024,43
07/10/2024,88
07/10/2024,2
06/10/2024,11
06/10/2024,21
06/10/2024,0
05/10/2024,14
05/10/2024,66
05/10/2024,94
04/10/2024,93
04/10/2024,95
04/10/2024,80
03/10/2024,57
03/10/2024,52
03/10/2024,72
02/10/2024,97
02/10/2024,9
02/10/2024,32
01/10/2024,54
01/10/2024,35
01/10/2024,26
30/09/2024,83
30/09/2024,45
30/09/2024,32
29/09/2024,23
29/09/2024,59
29/09/2024,50
28/09/2024,0
28/09/2024,49
28/09/2024,42
27/09/2024,94
27/09/2024,13
27/09/2024,51
26/09/2024,23
26/09/2024,54
26/09/2024,54
25/09/2024,22
25/09/2024,59
25/09/2024,22
24/09/2024,23
24/09/2024,19
24/09/2024,22
23/09/2024,87
23/09/2024,48
23/09/2024,1
22/09/2024,14
22/09/2024,9
22/09/2024,71
21/09/2024,15
21/09/2024,42
21/09/2024,24
20/09/2024,36
20/09/2024,77
20/09/2024,90
19/09/2024,19
19/09/2024,75
19/09/2024,39
18/09/2024,88
18/09/2024,48
18/09/2024,76
17/09/2024,17
17/09/2024,48
17/09/2024,46
16/09/2024,29
16/09/2024,11
16/09/2024,32
15/09/2024,84
15/09/2024,23
15/09/2024,35
14/09/2024,80
14/09/2024,6
14/09/2024,92
13/09/2024,78
13/09/2024,32
13/09/2024,98
12/09/2024,4
12/09/2024,94
12/09/2024,92
11/09/2024,9
11/09/2024,18
11/09/2024,93
10/09/2024,32
10/09/2024,22
