dia,numero
30/04/2025,5
30/04/2025,39
30/04/2025,22
29/04/2025,80
29/04/2025,92
29/04/2025,3
28/04/2025,51
28/04/2025,40
28/04/2025,22
27/04/2025,7
27/04/2025,29
27/04/2025,21
26/04/2025,69
26/04/2025,81
26/04/2025,8
25/04/2025,53
25/04/2025,77
25/04/2025,16
24/04/2025,65
24/04/2025,43
24/04/2025,3
23/04/2025,69
23/04/2025,93
23/04/2025,84
22/04/2025,27
22/04/2025,27
22/04/2025,80
21/04/2025,47
21/04/2025,43
21/04/2025,68
16/04/2025,94
16/04/2025,63
16/04/2025,17
15/04/2025,60
15/04/2025,87
15/04/2025,69
14/04/2025,97
14/04/2025,31
14/04/2025,78
13/04/2025,70
13/04/2025,93
13/04/2025,31
12/04/2025,76
12/04/2025,97
12/04/2025,97
11/04/2025,58
11/04/2025,92
11/04/2025,2
10/04/2025,75
10/04/2025,69
10/04/2025,98
09/04/2025,36
09/04/2025,43
09/04/2025,5
08/04/2025,81
08/04/2025,92
08/04/2025,44
07/04/2025,61
07/04/2025,91
07/04/2025,76
06/04/2025,74
06/04/2025,57
06/04/2025,26
05/04/2025,44
05/04/2025,51
05/04/2025,19
04/04/2025,6
04/04/2025,50
04/04/2025,35
03/04/2025,34
03/04/2025,82
03/04/2025,10
02/04/2025,77
02/04/2025,91
02/04/2025,25
01/04/2025,64
01/04/2025,91
01/04/2025,33
31/03/2025,79
31/03/2025,73
31/03/2025,24
30/03/2025,18
30/03/2025,11
30/03/2025,26
29/03/2025,64
29/03/2025,57
29/03/2025,10
28/03/2025,13
28/03/2025,49
28/03/2025,24
27/03/2025,72
27/03/2025,65
27/03/2025,22
26/03/2025,50
26/03/2025,97
26/03/2025,4
25/03/2025,24
25/03/2025,8
25/03/2025,73
24/03/2025,81
24/03/2025,88
24/03/2025,54
23/03/2025,60
23/03/2025,2
23/03/2025,44
22/03/2025,40
22/03/2025,63
22/03/2025,35
21/03/2025,77
21/03/2025,3
21/03/2025,38
20/03/2025,87
20/03/2025,90
20/03/2025,83
19/03/2025,76
19/03/2025,55
19/03/2025,80
18/03/2025,1
18/03/2025,54
18/03/2025,73
17/03/2025,20
17/03/2025,64
17/03/2025,3
16/03/2025,38
16/03/2025,74
16/03/2025,64
15/03/2025,40
15/03/2025,9
15/03/2025,28
14/03/2025,83
14/03/2025,38
14/03/2025,52
13/03/2025,16
13/03/2025,94
13/03/2025,0
12/03/2025,27
12/03/2025,65
12/03/2025,75
11/03/2025,57
11/03/2025,36
11/03/2025,8
10/03/2025,21
10/03/2025,38
10/03/2025,0
09/03/2025,82
09/03/2025,70
09/03/2025,46
08/03/2025,91
08/03/2025,9
08/03/2025,59
07/03/2025,47
07/03/2025,88
07/03/2025,62
06/03/2025,56
06/03/2025,81
06/03/2025,17
05/03/2025,96
05/03/2025,65
05/03/2025,99
04/03/2025,94
04/03/2025,53
04/03/2025,69
03/03/2025,77
03/03/2025,43
03/03/2025,71
02/03/2025,37
02/03/2025,77
02/03/2025,66
01/03/2025,46
01/03/2025,55
01/03/2025,71
28/02/2025,27
28/02/2025,79
28/02/2025,64
27/02/2025,57
27/02/2025,27
27/02/2025,63
26/02/2025,38
26/02/2025,59
26/02/2025,21
25/02/2025,71
25/02/2025,31
25/02/2025,23
24/02/2025,26
24/02/2025,85
24/02/2025,9
23/02/2025,90
23/02/2025,99
23/02/2025,76
22/02/2025,98
22/02/2025,81
22/02/2025,41
21/02/2025,27
21/02/2025,54
21/02/2025,93
20/02/2025,64
20/02/2025,95
20/02/2025,28
19/02/2025,29
19/02/2025,12
19/02/2025,78
18/02/2025,53
18/02/2025,93
18/02/2025,25
17/02/2025,22
17/02/2025,98
17/02/2025,51
16/02/2025,4
16/02/2025,77
16/02/2025,84
15/02/2025,45
15/02/2025,91
15/02/2025,61
14/02/2025,4
14/02/2025,96
14/02/2025,35
13/02/2025,83
13/02/2025,81
13/02/2025,91
12/02/2025,5
12/02/2025,80
12/02/2025,76
11/02/2025,21
11/02/2025,44
11/02/2025,69
10/02/2025,57
10/02/2025,5
10/02/2025,0
09/02/2025,74
09/02/2025,93
09/02/2025,64
08/02/2025,31
08/02/2025,42
08/02/2025,7
07/02/2025,1
07/02/2025,99
07/02/2025,88
06/02/2025,1
06/02/2025,76
06/02/2025,21
05/02/2025,70
05/02/2025,57
05/02/2025,77
04/02/2025,1
04/02/2025,81
04/02/2025,16
03/02/2025,59
03/02/2025,8
03/02/2025,20
02/02/2025,23
02/02/2025,83
02/02/2025,43
01/02/2025,92
01/02/2025,32
01/02/2025,27
31/01/2025,11
31/01/2025,94
31/01/2025,53
30/01/2025,90
30/01/2025,53
30/01/2025,3
29/01/2025,75
29/01/2025,20
29/01/2025,75
28/01/2025,55
28/01/2025,17
28/01/2025,55
27/01/2025,32
27/01/2025,25
27/01/2025,99
26/01/2025,47
26/01/2025,94
26/01/2025,9
25/01/2025,79
25/01/2025,10
25/01/2025,98
24/01/2025,62
24/01/2025,79
24/01/2025,78
23/01/2025,78
23/01/2025,44
23/01/2025,7
22/01/2025,44
22/01/2025,29
22/01/2025,51
21/01/2025,14
21/01/2025,23
21/01/2025,95
20/01/2025,36
20/01/2025,7
20/01/2025,45
19/01/2025,39
19/01/2025,69
19/01/2025,36
18/01/2025,20
18/01/2025,32
18/01/2025,76
17/01/2025,65
17/01/2025,13
17/01/2025,27
16/01/2025,16
16/01/2025,45
16/01/2025,83
15/01/2025,19
15/01/2025,34
15/01/2025,9
14/01/2025,76
14/01/2025,61
14/01/2025,42
13/01/2025,0
13/01/2025,24
13/01/2025,95
12/01/2025,41
12/01/2025,85
12/01/2025,13
11/01/2025,18
11/01/2025,44
11/01/2025,13
10/01/2025,71
10/01/2025,57
10/01/2025,46
