dia,numero
30/04/2021,0
30/04/2021,99
29/04/2021,89
29/04/2021,1
28/04/2021,43
28/04/2021,79
27/04/2021,14
27/04/2021,68
26/04/2021,49
26/04/2021,68
25/04/2021,58
25/04/2021,60
24/04/2021,49
24/04/2021,71
23/04/2021,47
23/04/2021,65
22/04/2021,73
22/04/2021,84
21/04/2021,14
21/04/2021,76
20/04/2021,82
20/04/2021,94
19/04/2021,13
19/04/2021,69
18/04/2021,75
18/04/2021,34
17/04/2021,62
17/04/2021,68
16/04/2021,1
16/04/2021,3
15/04/2021,41
15/04/2021,74
14/04/2021,64
14/04/2021,3
13/04/2021,92
13/04/2021,50
12/04/2021,26
12/04/2021,56
11/04/2021,3
11/04/2021,9
10/04/2021,83
10/04/2021,57
09/04/2021,46
09/04/2021,18
08/04/2021,86
08/04/2021,23
07/04/2021,5
07/04/2021,91
06/04/2021,53
06/04/2021,5
05/04/2021,3
05/04/2021,73
31/03/2021,80
31/03/2021,81
30/03/2021,53
30/03/2021,70
29/03/2021,79
29/03/2021,16
28/03/2021,31
28/03/2021,89
27/03/2021,15
27/03/2021,25
26/03/2021,69
26/03/2021,33
25/03/2021,77
25/03/2021,53
24/03/2021,6
24/03/2021,10
23/03/2021,43
23/03/2021,43
22/03/2021,20
22/03/2021,61
21/03/2021,64
21/03/2021,51
20/03/2021,4
20/03/2021,25
19/03/2021,40
19/03/2021,96
18/03/2021,8
18/03/2021,20
17/03/2021,39
17/03/2021,16
16/03/2021,3
16/03/2021,53
15/03/2021,92
15/03/2021,19
14/03/2021,68
14/03/2021,35
13/03/2021,33
13/03/2021,37
12/03/2021,95
12/03/2021,11
11/03/2021,41
11/03/2021,39
10/03/2021,96
10/03/2021,95
09/03/2021,28
09/03/2021,79
08/03/2021,12
08/03/2021,39
07/03/2021,75
07/03/2021,25
06/03/2021,43
06/03/2021,94
05/03/2021,89
05/03/2021,41
04/03/2021,3
04/03/2021,63
03/03/2021,97
03/03/2021,56
02/03/2021,60
02/03/2021,14
01/03/2021,17
01/03/2021,36
28/02/2021,39
28/02/2021,42
27/02/2021,74
27/02/2021,89
26/02/2021,14
26/02/2021,59
25/02/2021,4
25/02/2021,46
24/02/2021,14
24/02/2021,52
23/02/2021,4
23/02/2021,57
22/02/2021,44
22/02/2021,90
21/02/2021,70
21/02/2021,17
20/02/2021,68
20/02/2021,16
19/02/2021,43
19/02/2021,71
18/02/2021,10
18/02/2021,86
17/02/2021,87
17/02/2021,4
16/02/2021,20
16/02/2021,7
15/02/2021,54
15/02/2021,31
14/02/2021,75
14/02/2021,78
13/02/2021,79
13/02/2021,7
12/02/2021,83
12/02/2021,27
11/02/2021,63
11/02/2021,57
10/02/2021,97
10/02/2021,47
09/02/2021,66
09/02/2021,3
08/02/2021,48
08/02/2021,42
07/02/2021,73
07/02/2021,48
06/02/2021,20
06/02/2021,60
05/02/2021,53
05/02/2021,37
04/02/2021,49
04/02/2021,58
03/02/2021,10
03/02/2021,59
02/02/2021,21
02/02/2021,44
01/02/2021,37
01/02/2021,55
31/01/2021,62
31/01/2021,2
30/01/2021,92
30/01/2021,76
29/01/2021,43
29/01/2021,51
28/01/2021,12
28/01/2021,91
27/01/2021,7
27/01/2021,91
26/01/2021,88
26/01/2021,1
25/01/2021,91
25/01/2021,32
24/01/2021,87
24/01/2021,97
23/01/2021,18
23/01/2021,49
22/01/2021,19
22/01/2021,33
21/01/2021,52
21/01/2021,76
20/01/2021,41
20/01/2021,65
19/01/2021,84
19/01/2021,85
18/01/2021,9
18/01/2021,48
17/01/2021,19
17/01/2021,80
16/01/2021,83
16/01/2021,69
15/01/2021,53
15/01/2021,18
14/01/2021,88
14/01/2021,52
13/01/2021,90
13/01/2021,41
12/01/2021,34
12/01/2021,99
11/01/2021,5
11/01/2021,22
10/01/2021,9
10/01/2021,77
09/01/2021,85
09/01/2021,1
08/01/2021,59
08/01/2021,27
07/01/2021,71
07/01/2021,40
06/01/2021,84
06/01/2021,99
05/01/2021,77
05/01/2021,72
04/01/2021,97
04/01/2021,20
03/01/2021,60
03/01/2021,51
02/01/2021,75
02/01/2021,97
