dia,numero
31/08/2024,62
31/08/2024,4
31/08/2024,83
30/08/2024,47
30/08/2024,63
30/08/2024,13
29/08/2024,59
29/08/2024,13
29/08/2024,6
28/08/2024,29
28/08/2024,94
28/08/2024,44
27/08/2024,11
27/08/2024,78
27/08/2024,26
26/08/2024,96
26/08/2024,40
26/08/2024,95
25/08/2024,89
25/08/2024,19
25/08/2024,48
24/08/2024,68
24/08/2024,52
24/08/2024,76
23/08/2024,96
23/08/2024,95
23/08/2024,75
22/08/2024,77
22/08/2024,19
22/08/2024,47
21/08/2024,23
21/08/2024,59
21/08/2024,62
20/08/2024,8
20/08/2024,18
20/08/2024,49
19/08/2024,53
19/08/2024,88
19/08/2024,91
18/08/2024,14
18/08/2024,2
18/08/2024,49
17/08/2024,59
17/08/2024,57
17/08/2024,72
16/08/2024,13
16/08/2024,74
16/08/2024,14
15/08/2024,22
15/08/2024,37
15/08/2024,26
14/08/2024,37
14/08/2024,84
14/08/2024,34
13/08/2024,14
13/08/2024,69
13/08/2024,59
12/08/2024,53
12/08/2024,4
12/08/2024,13
11/08/2024,73
11/08/2024,78
11/08/2024,69
10/08/2024,99
10/08/2024,86
10/08/2024,34
09/08/2024,40
09/08/2024,46
09/08/2024,60
08/08/2024,90
08/08/2024,84
08/08/2024,41
07/08/2024,96
07/08/2024,0
07/08/2024,50
06/08/2024,15
06/08/2024,47
06/08/2024,35
05/08/2024,30
05/08/2024,32
05/08/2024,54
04/08/2024,54
04/08/2024,74
04/08/2024,94
03/08/2024,27
03/08/2024,7
03/08/2024,27
02/08/2024,12
02/08/2024,34
02/08/2024,5
01/08/2024,31
01/08/2024,0
01/08/2024,51
31/07/2024,44
31/07/2024,25
31/07/2024,95
30/07/2024,16
30/07/2024,79
30/07/2024,94
29/07/2024,20
29/07/2024,28
29/07/2024,87
28/07/2024,66
28/07/2024,30
28/07/2024,46
27/07/2024,39
27/07/2024,13
27/07/2024,53
26/07/2024,91
26/07/2024,72
26/07/2024,99
25/07/2024,40
25/07/2024,77
25/07/2024,30
24/07/2024,34
24/07/2024,96
24/07/2024,80
23/07/2024,30
23/07/2024,25
23/07/2024,48
22/07/2024,33
22/07/2024,69
22/07/2024,84
21/07/2024,57
21/07/2024,17
21/07/2024,53
20/07/2024,68
20/07/2024,2
20/07/2024,91
19/07/2024,6
19/07/2024,35
19/07/2024,98
18/07/2024,9
18/07/2024,40
18/07/2024,14
17/07/2024,88
17/07/2024,37
17/07/2024,20
16/07/2024,44
16/07/2024,7
16/07/2024,81
15/07/2024,26
15/07/2024,75
15/07/2024,25
14/07/2024,44
14/07/2024,12
14/07/2024,20
13/07/2024,14
13/07/2024,25
13/07/2024,84
12/07/2024,57
12/07/2024,62
12/07/2024,5
11/07/2024,97
11/07/2024,55
11/07/2024,14
10/07/2024,80
10/07/2024,4
10/07/2024,64
09/07/2024,26
09/07/2024,29
09/07/2024,83
08/07/2024,9
08/07/2024,68
08/07/2024,88
07/07/2024,89
07/07/2024,34
07/07/2024,69
06/07/2024,0
06/07/2024,41
06/07/2024,76
05/07/2024,60
05/07/2024,55
05/07/2024,47
04/07/2024,22
04/07/2024,67
04/07/2024,5
03/07/2024,32
03/07/2024,73
03/07/2024,92
02/07/2024,27
02/07/2024,29
02/07/2024,52
01/07/2024,75
01/07/2024,72
01/07/2024,8
30/06/2024,36
30/06/2024,65
30/06/2024,11
29/06/2024,64
29/06/2024,43
29/06/2024,79
28/06/2024,89
28/06/2024,43
28/06/2024,20
27/06/2024,14
27/06/2024,21
27/06/2024,0
26/06/2024,65
26/06/2024,58
26/06/2024,45
25/06/2024,90
25/06/2024,88
25/06/2024,70
24/06/2024,10
24/06/2024,53
24/06/2024,60
23/06/2024,50
23/06/2024,71
23/06/2024,42
22/06/2024,68
22/06/2024,42
22/06/2024,14
21/06/2024,79
21/06/2024,90
21/06/2024,80
20/06/2024,63
20/06/2024,51
20/06/2024,31
19/06/2024,45
19/06/2024,87
19/06/2024,29
18/06/2024,19
18/06/2024,67
18/06/2024,82
17/06/2024,7
17/06/2024,94
17/06/2024,79
16/06/2024,62
16/06/2024,56
16/06/2024,38
15/06/2024,56
15/06/2024,51
15/06/2024,91
14/06/2024,95
14/06/2024,2
14/06/2024,27
13/06/2024,16
13/06/2024,45
13/06/2024,13
12/06/2024,40
12/06/2024,24
12/06/2024,64
11/06/2024,10
11/06/2024,88
11/06/2024,19
10/06/2024,92
10/06/2024,76
10/06/2024,67
09/06/2024,22
09/06/2024,32
09/06/2024,17
08/06/2024,8
08/06/2024,59
08/06/2024,11
07/06/2024,43
07/06/2024,82
07/06/2024,38
06/06/2024,79
06/06/2024,26
06/06/2024,54
05/06/2024,68
05/06/2024,26
05/06/2024,0
04/06/2024,27
04/06/2024,85
04/06/2024,8
03/06/2024,85
03/06/2024,2
03/06/2024,94
02/06/2024,52
02/06/2024,88
02/06/2024,66
01/06/2024,86
01/06/2024,75
01/06/2024,35
31/05/2024,72
31/05/2024,40
31/05/2024,81
30/05/2024,40
30/05/2024,8
30/05/2024,23
29/05/2024,28
29/05/2024,46
29/05/2024,1
28/05/2024,56
28/05/2024,14
28/05/2024,91
27/05/2024,16
27/05/2024,76
27/05/2024,52
26/05/2024,69
26/05/2024,42
26/05/2024,73
25/05/2024,51
25/05/2024,17
25/05/2024,41
24/05/2024,90
24/05/2024,80
24/05/2024,88
23/05/2024,40
23/05/2024,94
23/05/2024,83
22/05/2024,33
22/05/2024,60
22/05/2024,60
21/05/2024,84
21/05/2024,38
21/05/2024,48
20/05/2024,18
20/05/2024,91
20/05/2024,37
19/05/2024,45
19/05/2024,61
19/05/2024,51
18/05/2024,70
18/05/2024,96
18/05/2024,47
17/05/2024,20
17/05/2024,98
17/05/2024,45
16/05/2024,7
16/05/2024,25
16/05/2024,85
15/05/2024,56
15/05/2024,89
15/05/2024,27
14/05/2024,24
14/05/2024,1
14/05/2024,98
13/05/2024,91
13/05/2024,49
13/05/2024,42
12/05/2024,21
12/05/2024,13
12/05/2024,98
11/05/2024,0
11/05/2024,27
11/05/2024,63
10/05/2024,4
10/05/2024,80
10/05/2024,82
09/05/2024,94
09/05/2024,39
09/05/2024,22
08/05/2024,6
08/05/2024,65
08/05/2024,40
07/05/2024,97
07/05/2024,71
07/05/2024,1
06/05/2024,95
06/05/2024,12
06/05/2024,91
05/05/2024,4
05/05/2024,77
05/05/2024,61
04/05/2024,52
04/05/2024,24
04/05/2024,75
03/05/2024,52
03/05/2024,84
03/05/2024,5
02/05/2024,28
02/05/2024,59
02/05/2024,62
01/05/2024,19
01/05/2024,21
01/05/2024,5
