dia,numero
31/12/2022,72
31/12/2022,76
30/12/2022,71
30/12/2022,69
30/12/2022,80
29/12/2022,38
29/12/2022,52
29/12/2022,91
28/12/2022,39
28/12/2022,59
28/12/2022,0
27/12/2022,77
27/12/2022,40
27/12/2022,57
26/12/2022,13
26/12/2022,53
26/12/2022,47
24/12/2022,30
24/12/2022,71
23/12/2022,90
23/12/2022,8
23/12/2022,50
22/12/2022,51
22/12/2022,99
22/12/2022,70
21/12/2022,96
21/12/2022,89
21/12/2022,67
20/12/2022,90
20/12/2022,87
20/12/2022,26
19/12/2022,35
19/12/2022,49
19/12/2022,40
18/12/2022,74
18/12/2022,10
18/12/2022,0
17/12/2022,69
17/12/2022,33
17/12/2022,35
16/12/2022,68
16/12/2022,69
16/12/2022,53
15/12/2022,27
15/12/2022,91
15/12/2022,95
14/12/2022,46
14/12/2022,42
14/12/2022,86
13/12/2022,84
13/12/2022,77
13/12/2022,58
12/12/2022,46
12/12/2022,52
12/12/2022,21
11/12/2022,14
11/12/2022,84
11/12/2022,4
10/12/2022,99
10/12/2022,99
10/12/2022,42
09/12/2022,79
09/12/2022,10
09/12/2022,48
08/12/2022,5
08/12/2022,14
08/12/2022,0
07/12/2022,42
07/12/2022,50
07/12/2022,89
06/12/2022,21
06/12/2022,95
06/12/2022,24
05/12/2022,78
05/12/2022,23
05/12/2022,9
04/12/2022,74
04/12/2022,60
04/12/2022,9
03/12/2022,85
03/12/2022,49
03/12/2022,60
02/12/2022,5
02/12/2022,11
02/12/2022,55
01/12/2022,43
01/12/2022,55
01/12/2022,8
30/11/2022,98
30/11/2022,69
30/11/2022,32
29/11/2022,57
29/11/2022,76
29/11/2022,48
28/11/2022,46
28/11/2022,57
28/11/2022,12
27/11/2022,58
27/11/2022,9
27/11/2022,53
26/11/2022,10
26/11/2022,97
26/11/2022,59
25/11/2022,91
25/11/2022,46
25/11/2022,4
24/11/2022,6
24/11/2022,28
24/11/2022,60
23/11/2022,58
23/11/2022,6
23/11/2022,59
22/11/2022,14
22/11/2022,74
22/11/2022,99
21/11/2022,90
21/11/2022,10
21/11/2022,73
20/11/2022,90
20/11/2022,66
20/11/2022,66
19/11/2022,21
19/11/2022,18
19/11/2022,94
18/11/2022,10
18/11/2022,72
18/11/2022,44
17/11/2022,86
17/11/2022,31
17/11/2022,70
16/11/2022,95
16/11/2022,62
16/11/2022,30
15/11/2022,8
15/11/2022,55
15/11/2022,94
14/11/2022,90
14/11/2022,89
14/11/2022,80
13/11/2022,77
13/11/2022,10
13/11/2022,81
12/11/2022,12
12/11/2022,11
12/11/2022,37
11/11/2022,2
11/11/2022,7
11/11/2022,54
10/11/2022,94
10/11/2022,6
10/11/2022,11
09/11/2022,73
09/11/2022,29
09/11/2022,4
08/11/2022,59
08/11/2022,53
08/11/2022,71
07/11/2022,38
07/11/2022,52
07/11/2022,71
06/11/2022,16
06/11/2022,92
06/11/2022,60
05/11/2022,19
05/11/2022,22
05/11/2022,26
04/11/2022,21
04/11/2022,54
04/11/2022,44
03/11/2022,98
03/11/2022,31
03/11/2022,70
02/11/2022,94
02/11/2022,43
02/11/2022,91
01/11/2022,33
01/11/2022,88
01/11/2022,3
31/10/2022,20
31/10/2022,79
31/10/2022,88
30/10/2022,14
30/10/2022,43
30/10/2022,29
29/10/2022,34
29/10/2022,12
29/10/2022,44
28/10/2022,66
28/10/2022,64
28/10/2022,35
27/10/2022,70
27/10/2022,73
27/10/2022,29
26/10/2022,63
26/10/2022,98
26/10/2022,5
25/10/2022,19
25/10/2022,11
25/10/2022,24
24/10/2022,55
24/10/2022,85
24/10/2022,45
23/10/2022,10
23/10/2022,76
23/10/2022,33
22/10/2022,80
22/10/2022,22
22/10/2022,65
21/10/2022,39
21/10/2022,2
21/10/2022,90
20/10/2022,53
20/10/2022,86
20/10/2022,69
19/10/2022,34
19/10/2022,90
19/10/2022,88
18/10/2022,73
18/10/2022,86
18/10/2022,82
17/10/2022,58
17/10/2022,79
17/10/2022,91
16/10/2022,29
16/10/2022,6
16/10/2022,41
15/10/2022,54
15/10/2022,51
15/10/2022,49
14/10/2022,57
14/10/2022,58
14/10/2022,14
13/10/2022,37
13/10/2022,57
13/10/2022,62
12/10/2022,29
12/10/2022,5
12/10/2022,86
11/10/2022,85
11/10/2022,84
11/10/2022,65
10/10/2022,66
10/10/2022,76
10/10/2022,83
09/10/2022,69
09/10/2022,2
09/10/2022,31
08/10/2022,13
08/10/2022,55
08/10/2022,2
07/10/2022,58
07/10/2022,92
07/10/2022,3
06/10/2022,42
06/10/2022,69
06/10/2022,58
05/10/2022,1
05/10/2022,80
05/10/2022,63
04/10/2022,42
04/10/2022,17
04/10/2022,89
03/10/2022,72
03/10/2022,65
03/10/2022,27
02/10/2022,59
02/10/2022,2
02/10/2022,15
01/10/2022,50
01/10/2022,12
01/10/2022,13
30/09/2022,8
30/09/2022,34
30/09/2022,94
29/09/2022,39
29/09/2022,49
29/09/2022,57
28/09/2022,90
28/09/2022,79
28/09/2022,68
27/09/2022,24
27/09/2022,37
27/09/2022,14
26/09/2022,41
26/09/2022,61
26/09/2022,32
25/09/2022,78
25/09/2022,22
25/09/2022,38
24/09/2022,48
24/09/2022,77
24/09/2022,6
23/09/2022,69
23/09/2022,66
23/09/2022,46
22/09/2022,24
22/09/2022,22
22/09/2022,93
21/09/2022,13
21/09/2022,14
21/09/2022,61
20/09/2022,9
20/09/2022,68
20/09/2022,5
19/09/2022,29
19/09/2022,50
19/09/2022,5
18/09/2022,71
18/09/2022,79
18/09/2022,14
17/09/2022,63
17/09/2022,21
17/09/2022,49
16/09/2022,69
16/09/2022,14
16/09/2022,97
15/09/2022,63
15/09/2022,2
15/09/2022,9
14/09/2022,21
14/09/2022,69
14/09/2022,72
13/09/2022,88
13/09/2022,79
13/09/2022,88
12/09/2022,38
12/09/2022,29
12/09/2022,94
11/09/2022,14
11/09/2022,34
11/09/2022,31
10/09/2022,53
10/09/2022,7
10/09/2022,28
09/09/2022,58
09/09/2022,34
09/09/2022,94
08/09/2022,71
08/09/2022,3
08/09/2022,59
07/09/2022,18
07/09/2022,54
07/09/2022,95
06/09/2022,8
06/09/2022,24
06/09/2022,33
05/09/2022,70
05/09/2022,48
05/09/2022,70
04/09/2022,71
04/09/2022,10
04/09/2022,87
03/09/2022,95
03/09/2022,20
03/09/2022,39
02/09/2022,90
02/09/2022,55
02/09/2022,39
01/09/2022,18
01/09/2022,34
01/09/2022,74
