dia,numero
31/08/2021,20
31/08/2021,67
30/08/2021,86
30/08/2021,75
29/08/2021,87
29/08/2021,94
28/08/2021,13
28/08/2021,69
27/08/2021,95
27/08/2021,16
26/08/2021,22
26/08/2021,81
25/08/2021,5
25/08/2021,35
24/08/2021,32
24/08/2021,93
23/08/2021,13
23/08/2021,35
22/08/2021,5
22/08/2021,30
21/08/2021,97
21/08/2021,73
20/08/2021,42
20/08/2021,85
19/08/2021,19
19/08/2021,45
18/08/2021,50
18/08/2021,96
17/08/2021,14
17/08/2021,7
16/08/2021,49
16/08/2021,65
14/08/2021,82
14/08/2021,1
13/08/2021,91
13/08/2021,30
12/08/2021,81
12/08/2021,63
11/08/2021,41
11/08/2021,88
10/08/2021,73
10/08/2021,46
09/08/2021,92
09/08/2021,67
08/08/2021,97
08/08/2021,7
07/08/2021,17
07/08/2021,39
06/08/2021,41
06/08/2021,7
05/08/2021,16
05/08/2021,37
04/08/2021,71
04/08/2021,45
03/08/2021,8
03/08/2021,0
02/08/2021,99
02/08/2021,85
01/08/2021,9
01/08/2021,60
31/07/2021,32
31/07/2021,99
30/07/2021,73
30/07/2021,61
29/07/2021,96
29/07/2021,31
28/07/2021,5
28/07/2021,88
27/07/2021,17
27/07/2021,49
26/07/2021,59
26/07/2021,57
25/07/2021,38
25/07/2021,31
24/07/2021,30
24/07/2021,99
23/07/2021,3
23/07/2021,76
22/07/2021,0
22/07/2021,27
21/07/2021,5
21/07/2021,86
20/07/2021,60
20/07/2021,77
19/07/2021,32
19/07/2021,42
18/07/2021,49
18/07/2021,35
17/07/2021,74
17/07/2021,23
16/07/2021,42
16/07/2021,78
15/07/2021,40
15/07/2021,12
14/07/2021,45
14/07/2021,74
13/07/2021,0
13/07/2021,42
12/07/2021,88
12/07/2021,78
11/07/2021,78
11/07/2021,32
10/07/2021,49
10/07/2021,61
09/07/2021,26
09/07/2021,18
08/07/2021,36
08/07/2021,7
07/07/2021,37
07/07/2021,42
06/07/2021,82
06/07/2021,60
05/07/2021,86
05/07/2021,95
04/07/2021,9
04/07/2021,84
03/07/2021,93
03/07/2021,41
02/07/2021,35
02/07/2021,1
01/07/2021,2
01/07/2021,8
30/06/2021,17
30/06/2021,48
29/06/2021,99
29/06/2021,92
28/06/2021,73
28/06/2021,97
27/06/2021,36
27/06/2021,4
26/06/2021,5
26/06/2021,53
25/06/2021,48
25/06/2021,67
24/06/2021,69
24/06/2021,8
23/06/2021,90
23/06/2021,61
22/06/2021,71
22/06/2021,86
21/06/2021,12
21/06/2021,49
20/06/2021,71
20/06/2021,66
19/06/2021,39
19/06/2021,5
18/06/2021,91
18/06/2021,36
17/06/2021,11
17/06/2021,80
16/06/2021,23
16/06/2021,22
15/06/2021,75
15/06/2021,31
14/06/2021,8
14/06/2021,48
13/06/2021,76
13/06/2021,59
12/06/2021,34
12/06/2021,17
11/06/2021,77
11/06/2021,15
10/06/2021,41
10/06/2021,78
09/06/2021,70
09/06/2021,4
08/06/2021,23
08/06/2021,99
07/06/2021,69
07/06/2021,80
06/06/2021,54
06/06/2021,59
05/06/2021,30
04/06/2021,40
03/06/2021,96
03/06/2021,5
02/06/2021,10
02/06/2021,4
01/06/2021,28
31/05/2021,70
31/05/2021,41
30/05/2021,90
30/05/2021,87
29/05/2021,18
29/05/2021,1
28/05/2021,75
28/05/2021,7
27/05/2021,99
27/05/2021,25
26/05/2021,19
26/05/2021,48
25/05/2021,68
25/05/2021,79
24/05/2021,41
24/05/2021,52
23/05/2021,67
23/05/2021,73
22/05/2021,24
22/05/2021,89
21/05/2021,10
21/05/2021,21
20/05/2021,22
20/05/2021,87
19/05/2021,30
19/05/2021,29
18/05/2021,51
17/05/2021,84
17/05/2021,61
16/05/2021,3
16/05/2021,79
15/05/2021,0
15/05/2021,20
14/05/2021,92
14/05/2021,36
13/05/2021,95
13/05/2021,76
12/05/2021,88
12/05/2021,33
11/05/2021,58
11/05/2021,56
10/05/2021,76
10/05/2021,58
09/05/2021,99
09/05/2021,29
08/05/2021,4
08/05/2021,19
07/05/2021,41
07/05/2021,81
06/05/2021,33
06/05/2021,24
05/05/2021,57
05/05/2021,28
04/05/2021,92
04/05/2021,65
03/05/2021,60
03/05/2021,73
02/05/2021,41
02/05/2021,80
01/05/2021,52
01/05/2021,22
