dia,numero
31/08/2022,0
31/08/2022,22
31/08/2022,59
30/08/2022,61
30/08/2022,24
30/08/2022,60
29/08/2022,22
29/08/2022,5
29/08/2022,58
28/08/2022,18
28/08/2022,25
28/08/2022,3
27/08/2022,99
27/08/2022,30
27/08/2022,9
26/08/2022,81
26/08/2022,89
26/08/2022,34
25/08/2022,14
25/08/2022,28
25/08/2022,48
24/08/2022,19
24/08/2022,33
24/08/2022,45
23/08/2022,9
23/08/2022,12
23/08/2022,28
22/08/2022,20
22/08/2022,41
22/08/2022,12
21/08/2022,83
21/08/2022,87
21/08/2022,11
20/08/2022,91
20/08/2022,76
20/08/2022,52
19/08/2022,96
19/08/2022,26
19/08/2022,76
18/08/2022,72
18/08/2022,22
18/08/2022,86
17/08/2022,46
17/08/2022,10
17/08/2022,56
16/08/2022,88
16/08/2022,27
16/08/2022,24
15/08/2022,46
15/08/2022,69
15/08/2022,56
14/08/2022,68
14/08/2022,32
14/08/2022,11
13/08/2022,25
13/08/2022,8
13/08/2022,69
12/08/2022,64
12/08/2022,90
12/08/2022,53
11/08/2022,38
11/08/2022,89
11/08/2022,45
10/08/2022,82
10/08/2022,85
10/08/2022,28
09/08/2022,11
09/08/2022,18
09/08/2022,91
08/08/2022,75
08/08/2022,34
08/08/2022,10
07/08/2022,6
07/08/2022,49
07/08/2022,70
06/08/2022,53
06/08/2022,47
06/08/2022,48
05/08/2022,10
05/08/2022,85
05/08/2022,84
04/08/2022,82
04/08/2022,59
04/08/2022,33
03/08/2022,53
03/08/2022,30
03/08/2022,53
02/08/2022,56
02/08/2022,94
02/08/2022,75
01/08/2022,26
01/08/2022,10
01/08/2022,59
31/07/2022,47
31/07/2022,9
31/07/2022,41
30/07/2022,49
30/07/2022,18
30/07/2022,50
29/07/2022,97
29/07/2022,69
29/07/2022,56
28/07/2022,47
28/07/2022,99
28/07/2022,4
27/07/2022,8
27/07/2022,25
27/07/2022,72
26/07/2022,77
26/07/2022,6
26/07/2022,69
25/07/2022,78
25/07/2022,96
25/07/2022,15
24/07/2022,23
24/07/2022,46
24/07/2022,4
23/07/2022,37
23/07/2022,8
23/07/2022,68
22/07/2022,79
22/07/2022,69
22/07/2022,46
21/07/2022,36
21/07/2022,36
21/07/2022,59
20/07/2022,66
20/07/2022,57
20/07/2022,1
19/07/2022,61
19/07/2022,36
19/07/2022,26
18/07/2022,38
18/07/2022,55
18/07/2022,56
17/07/2022,3
17/07/2022,20
17/07/2022,39
16/07/2022,13
16/07/2022,47
16/07/2022,77
15/07/2022,68
15/07/2022,30
15/07/2022,63
14/07/2022,3
14/07/2022,87
14/07/2022,10
13/07/2022,84
13/07/2022,69
13/07/2022,51
12/07/2022,49
12/07/2022,76
12/07/2022,0
11/07/2022,76
11/07/2022,61
11/07/2022,64
10/07/2022,69
10/07/2022,20
10/07/2022,79
09/07/2022,65
09/07/2022,25
09/07/2022,10
08/07/2022,94
08/07/2022,94
08/07/2022,77
07/07/2022,12
07/07/2022,2
07/07/2022,45
06/07/2022,93
06/07/2022,74
06/07/2022,20
05/07/2022,8
05/07/2022,93
05/07/2022,55
04/07/2022,50
04/07/2022,44
04/07/2022,97
03/07/2022,5
03/07/2022,22
03/07/2022,19
02/07/2022,19
02/07/2022,3
02/07/2022,18
01/07/2022,79
01/07/2022,50
01/07/2022,18
30/06/2022,72
30/06/2022,88
30/06/2022,85
29/06/2022,1
29/06/2022,46
29/06/2022,96
28/06/2022,97
28/06/2022,89
28/06/2022,89
27/06/2022,44
27/06/2022,88
27/06/2022,94
26/06/2022,34
26/06/2022,22
26/06/2022,9
25/06/2022,94
25/06/2022,79
25/06/2022,84
24/06/2022,78
24/06/2022,14
24/06/2022,63
23/06/2022,98
23/06/2022,40
23/06/2022,32
22/06/2022,99
22/06/2022,5
22/06/2022,21
21/06/2022,92
21/06/2022,72
21/06/2022,52
20/06/2022,12
20/06/2022,0
20/06/2022,62
19/06/2022,87
19/06/2022,47
19/06/2022,39
18/06/2022,99
18/06/2022,92
18/06/2022,17
17/06/2022,40
17/06/2022,49
17/06/2022,22
16/06/2022,20
16/06/2022,8
16/06/2022,6
15/06/2022,38
15/06/2022,7
15/06/2022,6
14/06/2022,97
14/06/2022,95
14/06/2022,31
13/06/2022,71
13/06/2022,62
13/06/2022,26
12/06/2022,19
12/06/2022,23
12/06/2022,46
11/06/2022,34
11/06/2022,81
11/06/2022,35
10/06/2022,32
10/06/2022,44
10/06/2022,84
09/06/2022,61
09/06/2022,33
09/06/2022,62
08/06/2022,1
08/06/2022,55
08/06/2022,62
07/06/2022,18
07/06/2022,57
07/06/2022,65
06/06/2022,8
06/06/2022,83
06/06/2022,59
03/06/2022,50
03/06/2022,93
01/06/2022,1
29/05/2022,66
29/05/2022,34
28/05/2022,67
27/05/2022,17
25/05/2022,80
23/05/2022,38
21/05/2022,30
21/05/2022,21
20/05/2022,40
17/05/2022,47
16/05/2022,69
16/05/2022,76
15/05/2022,40
15/05/2022,77
13/05/2022,70
11/05/2022,86
09/05/2022,87
08/05/2022,51
07/05/2022,22
07/05/2022,16
06/05/2022,45
05/05/2022,44
04/05/2022,97
03/05/2022,53
03/05/2022,99
02/05/2022,53
01/05/2022,18
