dia,numero
31/08/2023,92
31/08/2023,10
31/08/2023,32
30/08/2023,99
30/08/2023,97
30/08/2023,82
29/08/2023,21
29/08/2023,70
29/08/2023,42
28/08/2023,32
28/08/2023,3
28/08/2023,91
27/08/2023,30
27/08/2023,48
27/08/2023,67
26/08/2023,66
26/08/2023,44
26/08/2023,35
25/08/2023,0
25/08/2023,78
25/08/2023,19
24/08/2023,1
24/08/2023,16
24/08/2023,88
23/08/2023,91
23/08/2023,44
23/08/2023,37
22/08/2023,42
22/08/2023,29
22/08/2023,9
21/08/2023,1
21/08/2023,71
21/08/2023,93
20/08/2023,71
20/08/2023,64
20/08/2023,94
19/08/2023,78
19/08/2023,19
19/08/2023,61
18/08/2023,51
18/08/2023,82
18/08/2023,63
17/08/2023,41
17/08/2023,3
17/08/2023,77
16/08/2023,24
16/08/2023,94
16/08/2023,48
15/08/2023,91
15/08/2023,12
15/08/2023,11
14/08/2023,64
14/08/2023,10
14/08/2023,52
13/08/2023,36
13/08/2023,34
13/08/2023,21
12/08/2023,5
12/08/2023,26
12/08/2023,4
11/08/2023,55
11/08/2023,21
11/08/2023,97
10/08/2023,77
10/08/2023,73
10/08/2023,88
09/08/2023,95
09/08/2023,21
09/08/2023,44
08/08/2023,47
08/08/2023,16
08/08/2023,3
07/08/2023,68
07/08/2023,5
07/08/2023,82
06/08/2023,63
06/08/2023,11
06/08/2023,22
05/08/2023,22
05/08/2023,16
05/08/2023,14
04/08/2023,76
04/08/2023,12
04/08/2023,81
03/08/2023,41
03/08/2023,99
03/08/2023,27
02/08/2023,33
02/08/2023,7
02/08/2023,30
01/08/2023,60
01/08/2023,73
01/08/2023,36
31/07/2023,38
31/07/2023,24
31/07/2023,97
30/07/2023,13
30/07/2023,92
30/07/2023,40
29/07/2023,47
29/07/2023,45
29/07/2023,9
28/07/2023,91
28/07/2023,37
28/07/2023,91
27/07/2023,76
27/07/2023,20
27/07/2023,97
26/07/2023,49
26/07/2023,32
26/07/2023,92
25/07/2023,15
25/07/2023,82
25/07/2023,29
24/07/2023,91
24/07/2023,39
24/07/2023,55
23/07/2023,28
23/07/2023,36
23/07/2023,60
22/07/2023,52
22/07/2023,42
22/07/2023,28
21/07/2023,39
21/07/2023,89
21/07/2023,30
20/07/2023,12
20/07/2023,85
20/07/2023,61
19/07/2023,61
19/07/2023,25
19/07/2023,75
18/07/2023,15
18/07/2023,72
18/07/2023,74
17/07/2023,60
17/07/2023,81
17/07/2023,22
16/07/2023,44
16/07/2023,12
16/07/2023,19
15/07/2023,43
15/07/2023,1
15/07/2023,79
14/07/2023,6
14/07/2023,33
14/07/2023,91
13/07/2023,98
13/07/2023,73
13/07/2023,24
12/07/2023,96
12/07/2023,16
12/07/2023,94
11/07/2023,10
11/07/2023,56
11/07/2023,18
10/07/2023,48
10/07/2023,19
10/07/2023,86
09/07/2023,80
09/07/2023,21
09/07/2023,83
08/07/2023,34
08/07/2023,6
08/07/2023,38
07/07/2023,5
07/07/2023,55
07/07/2023,41
06/07/2023,35
06/07/2023,21
06/07/2023,4
05/07/2023,56
05/07/2023,61
05/07/2023,92
04/07/2023,68
04/07/2023,10
04/07/2023,92
03/07/2023,86
03/07/2023,78
03/07/2023,57
02/07/2023,53
02/07/2023,71
02/07/2023,92
01/07/2023,74
01/07/2023,39
01/07/2023,7
30/06/2023,74
30/06/2023,29
30/06/2023,31
29/06/2023,40
29/06/2023,88
29/06/2023,21
28/06/2023,54
28/06/2023,39
28/06/2023,22
27/06/2023,0
27/06/2023,35
27/06/2023,66
26/06/2023,53
26/06/2023,62
26/06/2023,30
25/06/2023,94
25/06/2023,77
25/06/2023,59
24/06/2023,56
24/06/2023,9
24/06/2023,64
23/06/2023,41
23/06/2023,21
23/06/2023,27
22/06/2023,13
22/06/2023,46
22/06/2023,79
21/06/2023,90
21/06/2023,66
21/06/2023,96
20/06/2023,63
20/06/2023,0
20/06/2023,76
19/06/2023,28
19/06/2023,16
19/06/2023,84
18/06/2023,81
18/06/2023,99
18/06/2023,85
17/06/2023,93
17/06/2023,4
17/06/2023,7
16/06/2023,86
16/06/2023,68
16/06/2023,91
15/06/2023,94
15/06/2023,86
15/06/2023,79
14/06/2023,23
14/06/2023,23
14/06/2023,56
13/06/2023,58
13/06/2023,81
13/06/2023,23
12/06/2023,8
12/06/2023,84
12/06/2023,5
11/06/2023,70
11/06/2023,84
11/06/2023,12
10/06/2023,29
10/06/2023,15
10/06/2023,84
09/06/2023,1
09/06/2023,66
09/06/2023,10
08/06/2023,10
08/06/2023,16
08/06/2023,87
07/06/2023,80
07/06/2023,32
07/06/2023,69
06/06/2023,49
06/06/2023,56
06/06/2023,83
05/06/2023,75
05/06/2023,53
05/06/2023,21
04/06/2023,62
04/06/2023,14
04/06/2023,87
03/06/2023,96
03/06/2023,2
03/06/2023,52
02/06/2023,95
02/06/2023,45
02/06/2023,18
01/06/2023,45
01/06/2023,32
01/06/2023,91
31/05/2023,35
31/05/2023,15
31/05/2023,83
30/05/2023,16
30/05/2023,35
30/05/2023,90
29/05/2023,27
29/05/2023,92
29/05/2023,21
28/05/2023,2
28/05/2023,64
28/05/2023,22
27/05/2023,80
27/05/2023,9
27/05/2023,13
26/05/2023,61
26/05/2023,98
26/05/2023,60
25/05/2023,61
25/05/2023,30
25/05/2023,52
24/05/2023,90
24/05/2023,70
24/05/2023,75
23/05/2023,22
23/05/2023,83
23/05/2023,89
22/05/2023,13
22/05/2023,95
22/05/2023,31
21/05/2023,55
21/05/2023,23
21/05/2023,55
20/05/2023,98
20/05/2023,65
20/05/2023,80
19/05/2023,24
19/05/2023,69
19/05/2023,57
18/05/2023,31
18/05/2023,51
18/05/2023,54
17/05/2023,78
17/05/2023,69
17/05/2023,20
16/05/2023,85
16/05/2023,87
16/05/2023,79
15/05/2023,20
15/05/2023,79
15/05/2023,12
14/05/2023,92
14/05/2023,64
14/05/2023,90
13/05/2023,56
13/05/2023,95
13/05/2023,2
12/05/2023,69
12/05/2023,88
12/05/2023,26
11/05/2023,2
11/05/2023,2
11/05/2023,73
10/05/2023,76
10/05/2023,17
10/05/2023,82
09/05/2023,52
09/05/2023,89
09/05/2023,47
08/05/2023,85
08/05/2023,40
08/05/2023,69
07/05/2023,78
07/05/2023,7
07/05/2023,16
06/05/2023,68
06/05/2023,6
06/05/2023,71
05/05/2023,66
05/05/2023,5
05/05/2023,30
04/05/2023,6
