dia,numero
30/04/2022,59
30/04/2022,83
29/04/2022,90
25/04/2022,31
24/04/2022,26
24/04/2022,47
24/04/2022,56
23/04/2022,86
23/04/2022,39
23/04/2022,17
22/04/2022,17
22/04/2022,20
22/04/2022,73
21/04/2022,64
21/04/2022,12
21/04/2022,82
20/04/2022,65
20/04/2022,21
20/04/2022,55
19/04/2022,31
19/04/2022,4
19/04/2022,44
18/04/2022,24
18/04/2022,29
18/04/2022,13
13/04/2022,52
13/04/2022,52
13/04/2022,35
12/04/2022,7
12/04/2022,27
12/04/2022,4
11/04/2022,31
11/04/2022,69
11/04/2022,9
10/04/2022,12
10/04/2022,21
10/04/2022,43
09/04/2022,39
09/04/2022,69
09/04/2022,67
08/04/2022,5
08/04/2022,81
08/04/2022,19
07/04/2022,58
07/04/2022,78
07/04/2022,25
06/04/2022,20
06/04/2022,52
05/04/2022,10
05/04/2022,58
05/04/2022,9
04/04/2022,93
04/04/2022,39
04/04/2022,37
02/04/2022,94
02/04/2022,64
01/04/2022,8
01/04/2022,76
31/03/2022,49
31/03/2022,13
30/03/2022,91
30/03/2022,70
29/03/2022,67
29/03/2022,49
28/03/2022,22
28/03/2022,54
27/03/2022,59
27/03/2022,1
26/03/2022,61
26/03/2022,25
25/03/2022,10
25/03/2022,82
24/03/2022,53
24/03/2022,92
23/03/2022,33
23/03/2022,21
22/03/2022,64
22/03/2022,9
21/03/2022,66
21/03/2022,39
20/03/2022,91
20/03/2022,45
19/03/2022,28
19/03/2022,75
18/03/2022,90
18/03/2022,90
17/03/2022,7
17/03/2022,44
16/03/2022,0
16/03/2022,32
15/03/2022,34
15/03/2022,51
14/03/2022,95
14/03/2022,92
13/03/2022,21
13/03/2022,84
12/03/2022,13
12/03/2022,42
11/03/2022,0
11/03/2022,81
10/03/2022,20
10/03/2022,61
09/03/2022,33
09/03/2022,77
08/03/2022,4
08/03/2022,80
07/03/2022,61
07/03/2022,98
06/03/2022,65
06/03/2022,43
05/03/2022,28
05/03/2022,94
04/03/2022,77
04/03/2022,23
03/03/2022,81
03/03/2022,72
02/03/2022,50
02/03/2022,58
01/03/2022,59
01/03/2022,89
28/02/2022,1
28/02/2022,1
27/02/2022,60
27/02/2022,98
26/02/2022,81
26/02/2022,53
25/02/2022,92
25/02/2022,73
24/02/2022,41
24/02/2022,58
23/02/2022,76
23/02/2022,18
22/02/2022,55
22/02/2022,89
21/02/2022,43
21/02/2022,50
20/02/2022,45
20/02/2022,77
19/02/2022,69
19/02/2022,82
18/02/2022,75
18/02/2022,78
17/02/2022,36
17/02/2022,90
16/02/2022,14
16/02/2022,48
15/02/2022,87
15/02/2022,46
14/02/2022,60
14/02/2022,76
13/02/2022,29
13/02/2022,91
12/02/2022,66
12/02/2022,34
11/02/2022,95
11/02/2022,38
10/02/2022,67
10/02/2022,53
09/02/2022,65
09/02/2022,99
08/02/2022,93
08/02/2022,83
07/02/2022,21
07/02/2022,93
05/02/2022,20
05/02/2022,62
04/02/2022,34
04/02/2022,38
03/02/2022,37
03/02/2022,61
02/02/2022,27
02/02/2022,45
01/02/2022,49
01/02/2022,3
31/01/2022,23
31/01/2022,17
30/01/2022,53
30/01/2022,23
29/01/2022,86
29/01/2022,5
28/01/2022,95
28/01/2022,38
27/01/2022,72
27/01/2022,14
26/01/2022,65
26/01/2022,12
25/01/2022,83
25/01/2022,38
24/01/2022,59
24/01/2022,16
23/01/2022,1
23/01/2022,88
22/01/2022,24
22/01/2022,67
21/01/2022,0
21/01/2022,92
20/01/2022,90
20/01/2022,48
19/01/2022,28
19/01/2022,15
18/01/2022,45
18/01/2022,44
17/01/2022,2
17/01/2022,95
16/01/2022,43
16/01/2022,17
15/01/2022,89
15/01/2022,44
14/01/2022,21
14/01/2022,60
13/01/2022,31
13/01/2022,86
12/01/2022,11
12/01/2022,8
11/01/2022,59
11/01/2022,91
10/01/2022,49
10/01/2022,36
09/01/2022,78
09/01/2022,44
08/01/2022,53
08/01/2022,66
07/01/2022,32
07/01/2022,15
06/01/2022,35
06/01/2022,48
05/01/2022,92
05/01/2022,9
04/01/2022,44
04/01/2022,46
03/01/2022,67
03/01/2022,40
02/01/2022,36
02/01/2022,75
